Setup complete. Steps per week: 672
CloudClusterEnv defined.

=======================================================
Training sla-focused, training seed 1
=======================================================
steps   2048 | recent ep reward   -206.7
steps   4096 | recent ep reward   -202.1
steps   6144 | recent ep reward   -192.3
steps   8192 | recent ep reward   -184.2
steps  10240 | recent ep reward   -175.0
steps  12288 | recent ep reward   -150.2
steps  14336 | recent ep reward   -141.8
steps  16384 | recent ep reward   -139.6
steps  18432 | recent ep reward   -142.7
steps  20480 | recent ep reward   -149.2
steps  22528 | recent ep reward   -144.4
steps  24576 | recent ep reward   -155.4
steps  26624 | recent ep reward   -152.7
steps  28672 | recent ep reward   -150.4
steps  30720 | recent ep reward   -156.0
steps  32768 | recent ep reward   -152.6
steps  34816 | recent ep reward   -150.7
steps  36864 | recent ep reward   -147.6
steps  38912 | recent ep reward   -145.2
steps  40960 | recent ep reward   -143.1
steps  43008 | recent ep reward   -158.1
steps  45056 | recent ep reward   -141.0
steps  47104 | recent ep reward   -141.6
steps  49152 | recent ep reward   -159.4
steps  51200 | recent ep reward   -149.5
steps  53248 | recent ep reward   -157.2
steps  55296 | recent ep reward   -161.9
steps  57344 | recent ep reward   -145.1
steps  59392 | recent ep reward   -147.6
steps  61440 | recent ep reward   -150.8
steps  63488 | recent ep reward   -142.7
steps  65536 | recent ep reward   -144.6
steps  67584 | recent ep reward   -157.9
steps  69632 | recent ep reward   -153.8
steps  71680 | recent ep reward   -134.3
steps  73728 | recent ep reward   -137.0
steps  75776 | recent ep reward   -157.6
steps  77824 | recent ep reward   -187.5
steps  79872 | recent ep reward   -182.5
steps  81920 | recent ep reward   -177.8
steps  83968 | recent ep reward   -161.8
steps  86016 | recent ep reward   -151.6
steps  88064 | recent ep reward   -138.1
steps  90112 | recent ep reward   -126.7
steps  92160 | recent ep reward   -129.0
steps  94208 | recent ep reward   -121.0
steps  96256 | recent ep reward   -106.5
steps  98304 | recent ep reward   -103.7
steps 100352 | recent ep reward   -101.0
steps 102400 | recent ep reward   -112.7
steps 104448 | recent ep reward    -98.6
steps 106496 | recent ep reward   -100.1
steps 108544 | recent ep reward    -85.2
steps 110592 | recent ep reward    -90.8
steps 112640 | recent ep reward    -85.0
steps 114688 | recent ep reward    -77.0
steps 116736 | recent ep reward    -80.3
steps 118784 | recent ep reward    -65.7
steps 120832 | recent ep reward    -70.1
steps 122880 | recent ep reward    -74.5
steps 124928 | recent ep reward    -74.6
steps 126976 | recent ep reward    -63.3
steps 129024 | recent ep reward    -62.2
steps 131072 | recent ep reward    -63.6
steps 133120 | recent ep reward    -69.6
steps 135168 | recent ep reward    -78.4
steps 137216 | recent ep reward    -93.4
steps 139264 | recent ep reward    -79.4
steps 141312 | recent ep reward    -66.4
steps 143360 | recent ep reward    -59.4
steps 145408 | recent ep reward    -61.7
steps 147456 | recent ep reward    -60.6
steps 149504 | recent ep reward    -61.8
steps 151552 | recent ep reward    -60.4
steps 153600 | recent ep reward    -59.2
steps 155648 | recent ep reward    -57.3
steps 157696 | recent ep reward    -46.4
steps 159744 | recent ep reward    -52.7
steps 161792 | recent ep reward    -52.8
steps 163840 | recent ep reward    -47.7
steps 165888 | recent ep reward    -42.9
steps 167936 | recent ep reward    -50.9
steps 169984 | recent ep reward    -46.0
steps 172032 | recent ep reward    -38.0
steps 174080 | recent ep reward    -29.2
steps 176128 | recent ep reward    -37.7
steps 178176 | recent ep reward    -32.9
steps 180224 | recent ep reward    -34.9
steps 182272 | recent ep reward    -28.2
steps 184320 | recent ep reward    -26.2
steps 186368 | recent ep reward    -28.8
steps 188416 | recent ep reward    -31.8
steps 190464 | recent ep reward    -32.8
steps 192512 | recent ep reward    -25.7
steps 194560 | recent ep reward    -25.9
steps 196608 | recent ep reward    -25.0
steps 198656 | recent ep reward    -19.8
steps 200704 | recent ep reward    -18.7
steps 202752 | recent ep reward    -25.8
steps 204800 | recent ep reward    -20.7
steps 206848 | recent ep reward    -17.2
steps 208896 | recent ep reward    -16.5
steps 210944 | recent ep reward    -17.0
steps 212992 | recent ep reward    -14.2
steps 215040 | recent ep reward    -19.0
steps 217088 | recent ep reward    -19.1
steps 219136 | recent ep reward    -14.3
steps 221184 | recent ep reward    -13.6
steps 223232 | recent ep reward    -10.3
steps 225280 | recent ep reward    -15.1
steps 227328 | recent ep reward    -14.4
steps 229376 | recent ep reward    -15.4
steps 231424 | recent ep reward    -15.4
steps 233472 | recent ep reward    -11.2
steps 235520 | recent ep reward    -12.1
steps 237568 | recent ep reward    -13.8
steps 239616 | recent ep reward    -15.9
steps 241664 | recent ep reward    -15.1
steps 243712 | recent ep reward    -13.3
steps 245760 | recent ep reward     -8.2
steps 247808 | recent ep reward    -11.8
steps 249856 | recent ep reward    -11.9
steps 251904 | recent ep reward     -9.5
Trained in 5.7 min
seed 1: cost 179.9 ± 0.8   breaches 679 ± 422

=======================================================
Training sla-focused, training seed 2
=======================================================
steps   2048 | recent ep reward   -170.4
steps   4096 | recent ep reward   -173.4
steps   6144 | recent ep reward   -144.5
steps   8192 | recent ep reward   -141.9
steps  10240 | recent ep reward   -137.5
